datasetSize;arrayType;sortType;time
50;0;0;6585
50;1;0;7270
50;2;0;5118
50;3;0;4178
100;0;0;17487
100;1;0;18269
100;2;0;16635
100;3;0;18022
150;0;0;40307
150;1;0;38432
150;2;0;34457
150;3;0;35341
200;0;0;66140
200;1;0;66383
200;2;0;62488
200;3;0;62993
250;0;0;99446
250;1;0;103273
250;2;0;94277
250;3;0;94941
300;0;0;139695
300;1;0;146870
300;2;0;134887
300;3;0;135821
100;0;0;17454
100;1;0;17310
100;2;0;15643
100;3;0;16484
200;0;0;63506
200;1;0;66290
200;2;0;60265
200;3;0;61634
300;0;0;138562
300;1;0;147831
300;2;0;134987
300;3;0;135711
400;0;0;242872
400;1;0;273322
400;2;0;238676
400;3;0;239586
500;0;0;376424
500;1;0;391250
500;2;0;370830
500;3;0;369906
600;0;0;538319
600;1;0;558546
600;2;0;532352
600;3;0;530261
700;0;0;765505
700;1;0;796355
700;2;0;727707
700;3;0;720121
800;0;0;947514
800;1;0;979458
800;2;0;939713
800;3;0;938159
900;0;0;1207790
900;1;0;1234563
900;2;0;1204909
900;3;0;1215665
1000;0;0;1472671
1000;1;0;1517279
1000;2;0;1454833
1000;3;0;1462511
1100;0;0;1777594
1100;1;0;1872103
1100;2;0;1763700
1100;3;0;1762601
1200;0;0;2136458
1200;1;0;2163447
1200;2;0;2096399
1200;3;0;2123632
1300;0;0;2476492
1300;1;0;2532316
1300;2;0;2462055
1300;3;0;2463144
1400;0;0;2869642
1400;1;0;2957247
1400;2;0;2855896
1400;3;0;2854845
1500;0;0;3310154
1500;1;0;3397024
1500;2;0;3270216
1500;3;0;3267959
1600;0;0;3742357
1600;1;0;3817236
1600;2;0;3742964
1600;3;0;3718638
1700;0;0;4213939
1700;1;0;4305396
1700;2;0;4196018
1700;3;0;4195710
1800;0;0;4758037
1800;1;0;4816530
1800;2;0;4717350
1800;3;0;4699243
1900;0;0;5348238
1900;1;0;5394316
1900;2;0;5251720
1900;3;0;5261099
2000;0;0;5822094
2000;1;0;5941217
2000;2;0;5807162
2000;3;0;5817256
2100;0;0;6419419
2100;1;0;6566626
2100;2;0;6410890
2100;3;0;6393650
2200;0;0;7047210
2200;1;0;7159617
2200;2;0;7013366
2200;3;0;7034276
2300;0;0;7734841
2300;1;0;7860156
2300;2;0;7726102
2300;3;0;7681218
2400;0;0;8382046
2400;1;0;8516577
2400;2;0;8355805
2400;3;0;8353242
2500;0;0;9083267
2500;1;0;9304404
2500;2;0;9134013
2500;3;0;9104959
2600;0;0;9903439
2600;1;0;10038094
2600;2;0;9907309
2600;3;0;9894390
2700;0;0;10654061
2700;1;0;10794814
2700;2;0;10654328
2700;3;0;10637514
2800;0;0;11491624
2800;1;0;11614128
2800;2;0;11420851
2800;3;0;11490526
2900;0;0;12226019
2900;1;0;12406467
2900;2;0;12301740
2900;3;0;12282653
3000;0;0;13113759
3000;1;0;13440434
3000;2;0;13157191
3000;3;0;13116932
3100;0;0;14149416
3100;1;0;14355672
3100;2;0;13913776
3100;3;0;13985940
3200;0;0;15015796
3200;1;0;15380824
3200;2;0;15165319
3200;3;0;14937194
3300;0;0;15953749
3300;1;0;16062107
3300;2;0;15799672
3300;3;0;15843167
3400;0;0;16775671
3400;1;0;17276498
3400;2;0;16807760
3400;3;0;16927291
3500;0;0;18046491
3500;1;0;18195264
3500;2;0;17820525
3500;3;0;17810954
3600;0;0;18964726
3600;1;0;19256127
3600;2;0;18834194
3600;3;0;18790501
3700;0;0;20307219
3700;1;0;20121369
3700;2;0;19945594
3700;3;0;20231916
3800;0;0;20989356
3800;1;0;21299297
3800;2;0;20861503
3800;3;0;20922702
3900;0;0;22325854
3900;1;0;22363902
3900;2;0;22051221
3900;3;0;22309982
4000;0;0;23473956
4000;1;0;23428917
4000;2;0;23484159
4000;3;0;23456494
4100;0;0;24416319
4100;1;0;24893243
4100;2;0;24623489
4100;3;0;24366746
50;0;1;7279
50;1;1;8098
50;2;1;4186
50;3;1;11328
100;0;1;36396
100;1;1;38528
100;2;1;17437
100;3;1;46677
150;0;1;81575
150;1;1;88434
150;2;1;36431
150;3;1;105894
200;0;1;131455
200;1;1;147701
200;2;1;64749
200;3;1;205803
250;0;1;206492
250;1;1;232546
250;2;1;98550
250;3;1;299762
300;0;1;309790
300;1;1;341942
300;2;1;140863
300;3;1;444913
100;0;1;34679
100;1;1;41047
100;2;1;17561
100;3;1;47752
200;0;1;134459
200;1;1;150860
200;2;1;64311
200;3;1;192025
300;0;1;310638
300;1;1;344231
300;2;1;142610
300;3;1;445506
400;0;1;566501
400;1;1;607395
400;2;1;248324
400;3;1;775680
500;0;1;918108
500;1;1;941769
500;2;1;397311
500;3;1;1169993
600;0;1;1309275
600;1;1;1451303
600;2;1;569915
600;3;1;1746100
700;0;1;1810493
700;1;1;1992094
700;2;1;779582
700;3;1;2406664
800;0;1;2417081
800;1;1;2599343
800;2;1;1008237
800;3;1;3100498
900;0;1;3159255
900;1;1;3369505
900;2;1;1272142
900;3;1;3942386
1000;0;1;3891863
1000;1;1;4119631
1000;2;1;1635676
1000;3;1;4930260
1100;0;1;4765075
1100;1;1;5102481
1100;2;1;1966693
1100;3;1;5982205
1200;0;1;5670218
1200;1;1;6096566
1200;2;1;2314293
1200;3;1;7054056
1300;0;1;6661367
1300;1;1;7138971
1300;2;1;2634894
1300;3;1;8237471
1400;0;1;7908250
1400;1;1;8228385
1400;2;1;3029977
1400;3;1;9554343
1500;0;1;9128093
1500;1;1;9698634
1500;2;1;3533642
1500;3;1;10809998
1600;0;1;10368088
1600;1;1;11016328
1600;2;1;4000057
1600;3;1;12407588
1700;0;1;11852312
1700;1;1;12595541
1700;2;1;4440391
1700;3;1;13979997
1800;0;1;13310604
1800;1;1;14330883
1800;2;1;5199438
1800;3;1;16192673
1900;0;1;14841064
1900;1;1;15851189
1900;2;1;5616865
1900;3;1;17589230
2000;0;1;16451524
2000;1;1;17652133
2000;2;1;6192007
2000;3;1;19551400
2100;0;1;18303704
2100;1;1;19556293
2100;2;1;6806847
2100;3;1;21414148
2200;0;1;20001209
2200;1;1;21363577
2200;2;1;7717479
2200;3;1;23410829
2300;0;1;21872178
2300;1;1;23424732
2300;2;1;8345085
2300;3;1;25817667
2400;0;1;24115491
2400;1;1;25555249
2400;2;1;8830154
2400;3;1;27953462
2500;0;1;25867120
2500;1;1;27898433
2500;2;1;9602252
2500;3;1;30360988
2600;0;1;27963440
2600;1;1;29874542
2600;2;1;10321933
2600;3;1;32669370
2700;0;1;30435794
2700;1;1;32549591
2700;2;1;11673759
2700;3;1;35270126
2800;0;1;32799732
2800;1;1;34884911
2800;2;1;12104901
2800;3;1;46906961
2900;0;1;35371916
2900;1;1;37753511
2900;2;1;13031362
2900;3;1;40754530
3000;0;1;37823420
3000;1;1;40352743
3000;2;1;14310418
3000;3;1;44050325
3100;0;1;40534719
3100;1;1;43569179
3100;2;1;14835736
3100;3;1;46850023
3200;0;1;43394612
3200;1;1;46470415
3200;2;1;15867211
3200;3;1;49961654
3300;0;1;45844856
3300;1;1;49085196
3300;2;1;16754114
3300;3;1;53131463
3400;0;1;49078388
3400;1;1;52263103
3400;2;1;17697490
3400;3;1;56491569
3500;0;1;51724542
3500;1;1;55611458
3500;2;1;19188270
3500;3;1;59536438
3600;0;1;54822857
3600;1;1;58566620
3600;2;1;20031371
3600;3;1;63100474
3700;0;1;57689083
3700;1;1;61560929
3700;2;1;21019472
3700;3;1;66629409
3800;0;1;60945384
3800;1;1;65295732
3800;2;1;22341731
3800;3;1;69820078
3900;0;1;64437916
3900;1;1;69183564
3900;2;1;23828706
3900;3;1;73418656
4000;0;1;67946010
4000;1;1;72819859
4000;2;1;24745803
4000;3;1;77443677
4100;0;1;71425315
4100;1;1;76142285
4100;2;1;29054507
4100;3;1;81824150
50;0;2;8102
50;1;2;9649
50;2;2;1308
50;3;2;12189
100;0;2;36278
100;1;2;41325
100;2;2;16030
100;3;2;49838
150;0;2;81223
150;1;2;92799
150;2;2;31142
150;3;2;109857
200;0;2;133904
200;1;2;152016
200;2;2;48129
200;3;2;196647
250;0;2;210655
250;1;2;237416
250;2;2;56244
250;3;2;303979
300;0;2;305959
300;1;2;343203
300;2;2;67947
300;3;2;446631
100;0;2;34994
100;1;2;39916
100;2;2;16224
100;3;2;51034
200;0;2;142190
200;1;2;150376
200;2;2;41032
200;3;2;194545
300;0;2;310883
300;1;2;345154
300;2;2;70332
300;3;2;441229
400;0;2;563081
400;1;2;606999
400;2;2;96782
400;3;2;778507
500;0;2;889319
500;1;2;975672
500;2;2;122508
500;3;2;1219123
600;0;2;1320322
600;1;2;1443132
600;2;2;591003
600;3;2;1692164
700;0;2;1839321
700;1;2;2018119
700;2;2;734884
700;3;2;2431231
800;0;2;2470716
800;1;2;2676673
800;2;2;895418
800;3;2;3169331
900;0;2;3158758
900;1;2;3451804
900;2;2;1059410
900;3;2;4005988
1000;0;2;3909714
1000;1;2;4245351
1000;2;2;1619632
1000;3;2;4826359
1100;0;2;4733895
1100;1;2;5154037
1100;2;2;1871180
1100;3;2;5909503
1200;0;2;5672166
1200;1;2;6068023
1200;2;2;2137596
1200;3;2;7022896
1300;0;2;6699344
1300;1;2;7211795
1300;2;2;2377167
1300;3;2;8286369
1400;0;2;7831042
1400;1;2;8418473
1400;2;2;2635643
1400;3;2;9615868
1500;0;2;9071261
1500;1;2;9860086
1500;2;2;2956978
1500;3;2;11140280
1600;0;2;10237719
1600;1;2;11143781
1600;2;2;3198383
1600;3;2;12708557
1700;0;2;11776018
1700;1;2;12741729
1700;2;2;3462099
1700;3;2;14234950
1800;0;2;13249584
1800;1;2;14646243
1800;2;2;3711197
1800;3;2;16078362
1900;0;2;14739082
1900;1;2;16105132
1900;2;2;3992943
1900;3;2;17709454
2000;0;2;16563239
2000;1;2;18081990
2000;2;2;4247894
2000;3;2;19609595
2100;0;2;18193122
2100;1;2;19604439
2100;2;2;4580969
2100;3;2;21559621
2200;0;2;20072855
2200;1;2;28576063
2200;2;2;5979333
2200;3;2;23868911
2300;0;2;22189197
2300;1;2;23972774
2300;2;2;5252992
2300;3;2;26074625
2400;0;2;23880952
2400;1;2;26052201
2400;2;2;5484037
2400;3;2;28857737
2500;0;2;26291469
2500;1;2;28572911
2500;2;2;5534492
2500;3;2;30887090
2600;0;2;28214221
2600;1;2;30126604
2600;2;2;5819335
2600;3;2;33483059
2700;0;2;30531520
2700;1;2;33009394
2700;2;2;6275347
2700;3;2;35815993
2800;0;2;32848746
2800;1;2;35368995
2800;2;2;6564396
2800;3;2;38662914
2900;0;2;35267196
2900;1;2;38073478
2900;2;2;6778531
2900;3;2;41460528
3000;0;2;37708736
3000;1;2;40566270
3000;2;2;7896888
3000;3;2;44401209
3100;0;2;40287052
3100;1;2;43457299
3100;2;2;8153180
3100;3;2;47855254
3200;0;2;43104099
3200;1;2;46570316
3200;2;2;8383464
3200;3;2;50341496
3300;0;2;45607579
3300;1;2;49596408
3300;2;2;8766275
3300;3;2;53948873
3400;0;2;48738534
3400;1;2;52634073
3400;2;2;8952639
3400;3;2;56317280
3500;0;2;52155451
3500;1;2;55864158
3500;2;2;9501491
3500;3;2;60879824
3600;0;2;54955004
3600;1;2;59364712
3600;2;2;9541226
3600;3;2;63611587
3700;0;2;57680534
3700;1;2;62561444
3700;2;2;10053791
3700;3;2;67419406
3800;0;2;60828340
3800;1;2;65659606
3800;2;2;10303416
3800;3;2;70995404
3900;0;2;64077817
3900;1;2;69292277
3900;2;2;10652151
3900;3;2;74771228
4000;0;2;67520798
4000;1;2;72987586
4000;2;2;11005424
4000;3;2;78041987
4100;0;2;70682766
4100;1;2;76593599
4100;2;2;30246227
4100;3;2;82688548
50;0;3;7125
50;1;3;8588
50;2;3;826
50;3;3;11632
100;0;3;34756
100;1;3;38862
100;2;3;12502
100;3;3;47960
150;0;3;77133
150;1;3;92501
150;2;3;13635
150;3;3;108645
200;0;3;137482
200;1;3;145071
200;2;3;14194
200;3;3;188738
250;0;3;207181
250;1;3;231261
250;2;3;16137
250;3;3;304514
300;0;3;296138
300;1;3;335979
300;2;3;57182
300;3;3;441127
100;0;3;33373
100;1;3;38319
100;2;3;12595
100;3;3;47526
200;0;3;127346
200;1;3;144871
200;2;3;14206
200;3;3;190422
300;0;3;335743
300;1;3;325782
300;2;3;56536
300;3;3;407529
400;0;3;538521
400;1;3;600418
400;2;3;64106
400;3;3;785491
500;0;3;881767
500;1;3;976294
500;2;3;97517
500;3;3;1241162
600;0;3;1300928
600;1;3;1437749
600;2;3;455473
600;3;3;1759914
700;0;3;1796895
700;1;3;1971095
700;2;3;496870
700;3;3;2391302
800;0;3;2390205
800;1;3;2602039
800;2;3;693428
800;3;3;3083083
900;0;3;3053269
900;1;3;7224335
900;2;3;1545111
900;3;3;5603298
1000;0;3;5111060
1000;1;3;4554621
1000;2;3;1437184
1000;3;3;4539670
1100;0;3;4567873
1100;1;3;5140859
1100;2;3;1460288
1100;3;3;5985169
1200;0;3;5643588
1200;1;3;6148452
1200;2;3;1478877
1200;3;3;6900163
1300;0;3;6697845
1300;1;3;7265599
1300;2;3;1559371
1300;3;3;8111993
1400;0;3;7775588
1400;1;3;8329304
1400;2;3;1709841
1400;3;3;9667107
1500;0;3;8978327
1500;1;3;9711013
1500;2;3;2053226
1500;3;3;10931030
1600;0;3;10213244
1600;1;3;11030005
1600;2;3;1983933
1600;3;3;12602389
1700;0;3;11670730
1700;1;3;12481837
1700;2;3;1991822
1700;3;3;14035179
1800;0;3;12950575
1800;1;3;14293030
1800;2;3;3361899
1800;3;3;15620296
1900;0;3;14744640
1900;1;3;15808631
1900;2;3;3515521
1900;3;3;17471271
2000;0;3;16139367
2000;1;3;17654861
2000;2;3;3558035
2000;3;3;19200374
2100;0;3;18027098
2100;1;3;19581418
2100;2;3;3704265
2100;3;3;21508695
2200;0;3;19561681
2200;1;3;21418335
2200;2;3;3713826
2200;3;3;23630588
2300;0;3;21509061
2300;1;3;23173655
2300;2;3;3689149
2300;3;3;25492533
2400;0;3;23471888
2400;1;3;25548113
2400;2;3;3728077
2400;3;3;27862635
2500;0;3;25599511
2500;1;3;27746355
2500;2;3;3733490
2500;3;3;30455680
2600;0;3;27631380
2600;1;3;30166318
2600;2;3;4292706
2600;3;3;32458713
2700;0;3;29931516
2700;1;3;32232531
2700;2;3;4330357
2700;3;3;35413765
2800;0;3;32031929
2800;1;3;34949149
2800;2;3;5199404
2800;3;3;38347066
2900;0;3;34560915
2900;1;3;37392207
2900;2;3;6086731
2900;3;3;40431101
3000;0;3;37146756
3000;1;3;40154256
3000;2;3;6893582
3000;3;3;43010437
3100;0;3;39867781
3100;1;3;43189208
3100;2;3;6974539
3100;3;3;46574187
3200;0;3;42732344
3200;1;3;46192827
3200;2;3;7196824
3200;3;3;49822455
3300;0;3;45289886
3300;1;3;48841980
3300;2;3;7186817
3300;3;3;52615968
3400;0;3;48125861
3400;1;3;52432315
3400;2;3;7274441
3400;3;3;55333433
3500;0;3;51058426
3500;1;3;55170995
3500;2;3;7439069
3500;3;3;58645883
3600;0;3;53999860
3600;1;3;58242020
3600;2;3;7548357
3600;3;3;63134130
3700;0;3;56954544
3700;1;3;61466605
3700;2;3;8152064
3700;3;3;66659557
3800;0;3;60167313
3800;1;3;64897843
3800;2;3;8357195
3800;3;3;69779411
3900;0;3;63387424
3900;1;3;68560832
3900;2;3;8356630
3900;3;3;73822314
4000;0;3;66764819
4000;1;3;80300502
4000;2;3;9078568
4000;3;3;77553507
4100;0;3;70431549
4100;1;3;76099589
4100;2;3;26972356
4100;3;3;81286866
50;0;4;5215
50;1;4;5830
50;2;4;615
50;3;4;11491
100;0;4;22665
100;1;4;29105
100;2;4;2522
100;3;4;48691
150;0;4;51204
150;1;4;59683
150;2;4;2845
150;3;4;111689
200;0;4;80996
200;1;4;96641
200;2;4;3589
200;3;4;190865
250;0;4;122691
250;1;4;145977
250;2;4;5122
250;3;4;296182
300;0;4;241125
300;1;4;214914
300;2;4;7318
300;3;4;435830
100;0;4;22479
100;1;4;26521
100;2;4;2340
100;3;4;52128
200;0;4;81533
200;1;4;99421
200;2;4;3656
200;3;4;203112
300;0;4;190338
300;1;4;220256
300;2;4;7710
300;3;4;442652
400;0;4;339102
400;1;4;395281
400;2;4;12144
400;3;4;791823
500;0;4;512146
500;1;4;610501
500;2;4;18199
500;3;4;1245028
600;0;4;689568
600;1;4;846695
600;2;4;29030
600;3;4;1653048
700;0;4;953133
700;1;4;1145466
700;2;4;35661
700;3;4;2251061
800;0;4;1295100
800;1;4;1583410
800;2;4;47310
800;3;4;3114123
900;0;4;1614448
900;1;4;1867407
900;2;4;49704
900;3;4;3727001
1000;0;4;1932940
1000;1;4;2374584
1000;2;4;72358
1000;3;4;4827961
1100;0;4;2374129
1100;1;4;2877186
1100;2;4;72806
1100;3;4;5865621
1200;0;4;2878233
1200;1;4;3439522
1200;2;4;80500
1200;3;4;6902855
1300;0;4;3149603
1300;1;4;3887387
1300;2;4;92554
1300;3;4;8245928
1400;0;4;3909426
1400;1;4;4680010
1400;2;4;105685
1400;3;4;9536710
1500;0;4;4456503
1500;1;4;5380621
1500;2;4;118556
1500;3;4;10791129
1600;0;4;5040398
1600;1;4;6009171
1600;2;4;118970
1600;3;4;12254655
1700;0;4;5618999
1700;1;4;6823035
1700;2;4;127751
1700;3;4;14037298
1800;0;4;6376698
1800;1;4;7356563
1800;2;4;150215
1800;3;4;15416367
1900;0;4;6880487
1900;1;4;8660029
1900;2;4;173218
1900;3;4;17274250
2000;0;4;7557649
2000;1;4;9456519
2000;2;4;181954
2000;3;4;19758960
2100;0;4;8972582
2100;1;4;11082281
2100;2;4;182120
2100;3;4;21559782
2200;0;4;9527016
2200;1;4;11687055
2200;2;4;192937
2200;3;4;23492961
2300;0;4;10972471
2300;1;4;12605745
2300;2;4;199541
2300;3;4;25192931
2400;0;4;11707593
2400;1;4;13785277
2400;2;4;217851
2400;3;4;27744901
2500;0;4;12441131
2500;1;4;15075592
2500;2;4;223531
2500;3;4;30626283
2600;0;4;13609774
2600;1;4;16265961
2600;2;4;235706
2600;3;4;31916923
2700;0;4;14540005
2700;1;4;17519054
2700;2;4;251663
2700;3;4;35301511
2800;0;4;15232167
2800;1;4;18933963
2800;2;4;270531
2800;3;4;37819205
2900;0;4;16863527
2900;1;4;19944823
2900;2;4;309129
2900;3;4;40303663
3000;0;4;18119992
3000;1;4;21774799
3000;2;4;335804
3000;3;4;42973593
3100;0;4;19356444
3100;1;4;23014481
3100;2;4;353349
3100;3;4;46635709
3200;0;4;20730550
3200;1;4;24800753
3200;2;4;346029
3200;3;4;49025226
3300;0;4;22132210
3300;1;4;26071476
3300;2;4;331427
3300;3;4;52024831
3400;0;4;23645317
3400;1;4;28158441
3400;2;4;355442
3400;3;4;55569733
3500;0;4;25111730
3500;1;4;29947774
3500;2;4;350054
3500;3;4;59131407
3600;0;4;25941248
3600;1;4;31384325
3600;2;4;377092
3600;3;4;61597070
3700;0;4;27354447
3700;1;4;32702681
3700;2;4;399982
3700;3;4;64817501
3800;0;4;28901936
3800;1;4;34799171
3800;2;4;389980
3800;3;4;69667822
3900;0;4;30606475
3900;1;4;36692786
3900;2;4;426385
3900;3;4;72799332
4000;0;4;31284453
