datasetSize;arrayType;sortType;operations
50;Random(0-5);selectionSort;6486
50;Random(0-4000);selectionSort;6554
50;AlmostSorted;selectionSort;6457
50;ReversedSorted;selectionSort;7044
100;Random(0-5);selectionSort;25474
100;Random(0-4000);selectionSort;25635
100;AlmostSorted;selectionSort;25429
100;ReversedSorted;selectionSort;27844
150;Random(0-5);selectionSort;56964
150;Random(0-4000);selectionSort;57277
150;AlmostSorted;selectionSort;56949
150;ReversedSorted;selectionSort;62394
200;Random(0-5);selectionSort;100942
200;Random(0-4000);selectionSort;101451
200;AlmostSorted;selectionSort;100984
200;ReversedSorted;selectionSort;110694
250;Random(0-5);selectionSort;157458
250;Random(0-4000);selectionSort;158244
250;AlmostSorted;selectionSort;157534
250;ReversedSorted;selectionSort;172744
300;Random(0-5);selectionSort;226453
300;Random(0-4000);selectionSort;227330
300;AlmostSorted;selectionSort;226575
300;ReversedSorted;selectionSort;248544
400;Random(0-5);selectionSort;401951
400;Random(0-4000);selectionSort;403353
400;AlmostSorted;selectionSort;401999
400;ReversedSorted;selectionSort;441394
500;Random(0-5);selectionSort;627481
500;Random(0-4000);selectionSort;629153
500;AlmostSorted;selectionSort;627488
500;ReversedSorted;selectionSort;689244
600;Random(0-5);selectionSort;903009
600;Random(0-4000);selectionSort;904903
600;AlmostSorted;selectionSort;903109
600;ReversedSorted;selectionSort;992094
700;Random(0-5);selectionSort;1228516
700;Random(0-4000);selectionSort;1231071
700;AlmostSorted;selectionSort;1228733
700;ReversedSorted;selectionSort;1349944
800;Random(0-5);selectionSort;1603954
800;Random(0-4000);selectionSort;1606968
800;AlmostSorted;selectionSort;1603841
800;ReversedSorted;selectionSort;1762794
900;Random(0-5);selectionSort;2029407
900;Random(0-4000);selectionSort;2033121
900;AlmostSorted;selectionSort;2028398
900;ReversedSorted;selectionSort;2230644
1000;Random(0-5);selectionSort;2504909
1000;Random(0-4000);selectionSort;2508899
1000;AlmostSorted;selectionSort;2503524
1000;ReversedSorted;selectionSort;2753494
1100;Random(0-5);selectionSort;3030373
1100;Random(0-4000);selectionSort;3034813
1100;AlmostSorted;selectionSort;3028974
1100;ReversedSorted;selectionSort;3331344
1200;Random(0-5);selectionSort;3605876
1200;Random(0-4000);selectionSort;3611155
1200;AlmostSorted;selectionSort;3604484
1200;ReversedSorted;selectionSort;3964194
1300;Random(0-5);selectionSort;4231366
1300;Random(0-4000);selectionSort;4236884
1300;AlmostSorted;selectionSort;4230050
1300;ReversedSorted;selectionSort;4652044
1400;Random(0-5);selectionSort;4906879
1400;Random(0-4000);selectionSort;4913179
1400;AlmostSorted;selectionSort;4905598
1400;ReversedSorted;selectionSort;5394894
1500;Random(0-5);selectionSort;5632374
1500;Random(0-4000);selectionSort;5639129
1500;AlmostSorted;selectionSort;5631172
1500;ReversedSorted;selectionSort;6192744
1600;Random(0-5);selectionSort;6407851
1600;Random(0-4000);selectionSort;6414817
1600;AlmostSorted;selectionSort;6406794
1600;ReversedSorted;selectionSort;7045594
1700;Random(0-5);selectionSort;7233347
1700;Random(0-4000);selectionSort;7241073
1700;AlmostSorted;selectionSort;7231931
1700;ReversedSorted;selectionSort;7953444
1800;Random(0-5);selectionSort;8108822
1800;Random(0-4000);selectionSort;8117096
1800;AlmostSorted;selectionSort;8107516
1800;ReversedSorted;selectionSort;8916294
1900;Random(0-5);selectionSort;9034349
1900;Random(0-4000);selectionSort;9043321
1900;AlmostSorted;selectionSort;9032934
1900;ReversedSorted;selectionSort;9934144
2000;Random(0-5);selectionSort;10009819
2000;Random(0-4000);selectionSort;10019117
2000;AlmostSorted;selectionSort;10007056
2000;ReversedSorted;selectionSort;11006994
2100;Random(0-5);selectionSort;11035369
2100;Random(0-4000);selectionSort;11045510
2100;AlmostSorted;selectionSort;11032508
2100;ReversedSorted;selectionSort;12134844
2200;Random(0-5);selectionSort;12110857
2200;Random(0-4000);selectionSort;12121545
2200;AlmostSorted;selectionSort;12108058
2200;ReversedSorted;selectionSort;13317694
2300;Random(0-5);selectionSort;13236397
2300;Random(0-4000);selectionSort;13247545
2300;AlmostSorted;selectionSort;13233623
2300;ReversedSorted;selectionSort;14555544
2400;Random(0-5);selectionSort;14411886
2400;Random(0-4000);selectionSort;14423778
2400;AlmostSorted;selectionSort;14409166
2400;ReversedSorted;selectionSort;15848394
2500;Random(0-5);selectionSort;15637387
2500;Random(0-4000);selectionSort;15649500
2500;AlmostSorted;selectionSort;15634595
2500;ReversedSorted;selectionSort;17196244
2600;Random(0-5);selectionSort;16912894
2600;Random(0-4000);selectionSort;16925445
2600;AlmostSorted;selectionSort;16910277
2600;ReversedSorted;selectionSort;18599094
2700;Random(0-5);selectionSort;18238373
2700;Random(0-4000);selectionSort;18251803
2700;AlmostSorted;selectionSort;18235361
2700;ReversedSorted;selectionSort;20056944
2800;Random(0-5);selectionSort;19613861
2800;Random(0-4000);selectionSort;19627935
2800;AlmostSorted;selectionSort;19610664
2800;ReversedSorted;selectionSort;21569794
2900;Random(0-5);selectionSort;21039373
2900;Random(0-4000);selectionSort;21053314
2900;AlmostSorted;selectionSort;21035857
2900;ReversedSorted;selectionSort;23137644
3000;Random(0-5);selectionSort;22514878
