datasetSize;arrayType;sortType;time
50;Random(0-5);selectionSort;22673
50;Random(0-4000);selectionSort;18977
50;AlmostSorted;selectionSort;14290
50;ReversedSorted;selectionSort;27107
100;Random(0-5);selectionSort;84177
100;Random(0-4000);selectionSort;56045
100;AlmostSorted;selectionSort;83562
100;ReversedSorted;selectionSort;86793
150;Random(0-5);selectionSort;158112
150;Random(0-4000);selectionSort;172122
150;AlmostSorted;selectionSort;101988
150;ReversedSorted;selectionSort;62021
200;Random(0-5);selectionSort;172684
200;Random(0-4000);selectionSort;178956
200;AlmostSorted;selectionSort;156515
200;ReversedSorted;selectionSort;227793
250;Random(0-5);selectionSort;176329
250;Random(0-4000);selectionSort;174908
250;AlmostSorted;selectionSort;182051
250;ReversedSorted;selectionSort;263324
300;Random(0-5);selectionSort;365583
300;Random(0-4000);selectionSort;380606
300;AlmostSorted;selectionSort;330011
300;ReversedSorted;selectionSort;293670
400;Random(0-5);selectionSort;468620
400;Random(0-4000);selectionSort;474081
400;AlmostSorted;selectionSort;402334
400;ReversedSorted;selectionSort;352955
500;Random(0-5);selectionSort;582367
500;Random(0-4000);selectionSort;704735
500;AlmostSorted;selectionSort;744444
500;ReversedSorted;selectionSort;696921
600;Random(0-5);selectionSort;911847
600;Random(0-4000);selectionSort;1216502
600;AlmostSorted;selectionSort;782245
600;ReversedSorted;selectionSort;676517
700;Random(0-5);selectionSort;1702335
700;Random(0-4000);selectionSort;1235604
700;AlmostSorted;selectionSort;1150515
700;ReversedSorted;selectionSort;909270
800;Random(0-5);selectionSort;1237270
800;Random(0-4000);selectionSort;1348629
800;AlmostSorted;selectionSort;1669904
800;ReversedSorted;selectionSort;1198679
900;Random(0-5);selectionSort;1683605
900;Random(0-4000);selectionSort;1602107
900;AlmostSorted;selectionSort;1548916
900;ReversedSorted;selectionSort;1504840
1000;Random(0-5);selectionSort;1922122
1000;Random(0-4000);selectionSort;1966466
1000;AlmostSorted;selectionSort;1960410
1000;ReversedSorted;selectionSort;1868316
1100;Random(0-5);selectionSort;2380025
1100;Random(0-4000);selectionSort;2395654
1100;AlmostSorted;selectionSort;2359254
1100;ReversedSorted;selectionSort;2311058
1200;Random(0-5);selectionSort;3157626
1200;Random(0-4000);selectionSort;3341241
1200;AlmostSorted;selectionSort;2787065
1200;ReversedSorted;selectionSort;2648004
1300;Random(0-5);selectionSort;3279523
1300;Random(0-4000);selectionSort;3363857
1300;AlmostSorted;selectionSort;3279024
1300;ReversedSorted;selectionSort;3396060
1400;Random(0-5);selectionSort;4086096
1400;Random(0-4000);selectionSort;3870254
1400;AlmostSorted;selectionSort;3899520
1400;ReversedSorted;selectionSort;3613315
1500;Random(0-5);selectionSort;4413402
1500;Random(0-4000);selectionSort;4433920
1500;AlmostSorted;selectionSort;4294972
1500;ReversedSorted;selectionSort;4199935
1600;Random(0-5);selectionSort;4919094
1600;Random(0-4000);selectionSort;4994580
1600;AlmostSorted;selectionSort;4870593
1600;ReversedSorted;selectionSort;4720183
1700;Random(0-5);selectionSort;5631758
1700;Random(0-4000);selectionSort;5946376
1700;AlmostSorted;selectionSort;5507472
1700;ReversedSorted;selectionSort;5352301
1800;Random(0-5);selectionSort;6292739
1800;Random(0-4000);selectionSort;6305070
1800;AlmostSorted;selectionSort;6197251
1800;ReversedSorted;selectionSort;6113521
1900;Random(0-5);selectionSort;7647672
1900;Random(0-4000);selectionSort;7017378
1900;AlmostSorted;selectionSort;7240303
1900;ReversedSorted;selectionSort;6632187
2000;Random(0-5);selectionSort;7627590
2000;Random(0-4000);selectionSort;7764595
2000;AlmostSorted;selectionSort;7781160
